target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
Saint-Gobain,Saint-Gobain,done,saint-gobain.png,Saint-Gobain,"Compagnie de Saint-Gobain S.A., France",wikimedia,https://upload.wikimedia.org/wikipedia/en/d/dc/Saint-Gobain_logo.svg,Current skyline logo.
Saipem,Saipem,done,saipem.png,Saipem,"Saipem S.p.A., Italy",wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/7d/Saipem_logo.svg,Stacked symbol and name.
Sami Navantia Naval Industries,Sami Navantia Naval Industries,failed,,SAMI Navantia,"SAMI Navantia Naval Industries (SAMI and Navantia joint venture), Saudi Arabia",,,"Commons has no SAMI Navantia logo, and the proxy refuses the connection to saminavantia.com.sa (502 on CONNECT)."
Sandvine,Sandvine,done,applogic-networks.png,AppLogic Networks,"Sandvine Corporation, Canada, renamed AppLogic Networks in 2025",official-site,https://www.applogicnetworks.com/hubfs/NewCo%20Assets/Logo/AppLogic%20Networks%20CMYK%20Logo.png,"Needs a decision. sandvine.com now redirects to applogicnetworks.com, so I used the logo the company uses today. The Commons Sandvine file is only a 150px symbol, which failed. If the library should caption the client as Sandvine, this group needs Sandvine's last logo instead."
Saudi Agricultural and Livestock Investment,Saudi Agricultural and Livestock Investment,done,salic.png,SALIC,"Saudi Agricultural and Livestock Investment Company (SALIC), Saudi Arabia",official-site,https://www.salic.com/assets/images/salic-logo.svg,Bilingual lockup. There was no Wikimedia file.
Saudi Arabia Cultural Bureau,Saudi Arabia Cultural Bureau,done,saudi-arabia-emblem.png,Saudi Arabian Cultural Bureau,"Saudi Arabian Cultural Bureau (Saudi government cultural or education office abroad), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/9/99/Emblem_of_Saudi_Arabia.svg,"The data does not say which country's bureau this is, and the bureaus have no distinct mark of their own, so I used the Saudi emblem under the government-body rule."
Saudi Authority for the Care of Persons with Disabilities (APD),Saudi Authority for the Care of Persons with Disabilities (APD),failed,,Authority for the Care of Persons with Disabilities,"Authority for the Care of Persons with Disabilities (APD), Saudi Arabia",,,"A Commons search found 'File:APD logo.svg' (not yet confirmed as this APD), but every download returned 429 (rate limit). apd.gov.sa resets every connection from this environment. Please retry the Commons file later."
SAB,Saudi British Bank,done,sab.png,SAB,"Saudi Awwal Bank (SAB, formerly Saudi British Bank), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/5/52/SAB_logo_%28since_2023%29.svg,Bilingual logo in use since 2023. It matches the logo on the sab.com header.
Saudi Council of Economic and Development Affairs (CEDA),Saudi Council of Economic and Development Affairs (CEDA),failed,,Council of Economic and Development Affairs,"Council of Economic and Development Affairs (CEDA), Saudi Arabia",,,"The Wikipedia page has no logo and a Commons search found none. The proxy refuses the connection to ceda.gov.sa (502), so I could not check whether CEDA has its own mark. If it has none, the Saudi emblem (saudi-arabia-emblem.png) would apply."
Saudi Electricity Regulatory Authority (SERA),Saudi Electricity Regulatory Authority (SERA),done,sera.png,Saudi Electricity Regulatory Authority,"Saudi Electricity Regulatory Authority (SERA), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/7d/Sera_Primary_Logo.png,Bilingual primary lockup (4605px PNG). The official site could not be reached to cross-check it.
Saudi General Authority for Competition (GAC),Saudi General Authority for Competition (GAC),failed,,General Authority for Competition,"General Authority for Competition (GAC), Saudi Arabia",,,"The Commons file 'General_Authority_of_Competition_Logo.svg' exists, but every download of it and of its PNG version returned 429 (rate limit) for over 30 minutes. gac.gov.sa resets every connection. Please retry the Commons file later."
Saudi Ground Services,Saudi Ground Services,done,saudi-ground-services.png,Saudi Ground Services,"Saudi Ground Services Company (SGS), Saudi Arabia",official-site,https://saudiags.com/wp-content/uploads/2021/06/SGS-LOGO.zip,Taken from the logo pack on the company's own site: the full-colour bilingual lockup (SGS_Logo_Artboard 7.png).
Saudi Ministry of Communications and Information Technology (MCIT),Saudi Ministry of Communications and Information Technology (MCIT),done,saudi-mcit.png,Saudi Ministry of Communications and Information Technology,"Ministry of Communications and Information Technology, Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/en/0/04/Saudi_Ministry_of_Communications_and_Information_Technology_Logo.svg,The infobox logo from English Wikipedia (bilingual SVG).
Saudi Ministry of Education,Saudi Ministry of Education,done,saudi-ministry-of-education.png,Saudi Ministry of Education,"Ministry of Education, Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/en/3/3d/Saudi_Ministry_of_Education_Logo.svg,The infobox logo from English Wikipedia (bilingual SVG).
Saudi Ports Development Company,Saudi Ports Development Company,failed,,King Abdullah Port,"Ports Development Company (PDC), Saudi Arabia, developer and owner of King Abdullah Port (possible alternative: Saudi Ports Authority, Mawani)",,https://www.kingabdullahport.com.sa/ports-development-company/,"No usable logo: PDC uses the King Abdullah Port logo, which is only 188x150px on its site, and its Wikipedia page has no logo; also check whether the client was PDC or Mawani."
Saudi Small and Medium Enterprises General Authority (Monsha'at),Saudi Small and Medium Enterprises General Authority (Monsha'at),done,monshaat.png,Monsha'at,"Small and Medium Enterprises General Authority (Monsha'at), Saudi Arabia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/2/27/Small_and_Medium_Enterprises_General_Authority_Logo.svg,Bilingual SVG lockup from Wikimedia Commons.
Saudi Technology Development and Investment Company (TAQNIA),Saudi Technology Development and Investment Company (TAQNIA),failed,,TAQNIA,"Saudi Technology Development and Investment Company (TAQNIA), Saudi Arabia",,,"No usable logo: there is no Wikipedia page or Commons file, and the official taqnia.sa and taqnia.com.sa sites would not load from here."
Saudi Tourism Development Fund (TDF),Saudi Tourism Development Fund (TDF),failed,,Tourism Development Fund,"Tourism Development Fund (TDF), Saudi Arabia",,,No usable logo: the Wikipedia page has no logo and tdf.gov.sa would not load from here.
"of Ahmed Seddiqi: its own logo, or the Ahmed Seddiqi logo already in the library?; Will ticked 24 Sep 2026",Seddiqi Holding,done,seddiqi-holding.png,Seddiqi Holding,"Seddiqi Holding, UAE (parent of Ahmed Seddiqi)",official-site,https://seddiqiholding.com/application/themes/seddiqi/assets/images/header-logo-brown.svg,"Seddiqi Holding has its own bilingual logo, so I sourced that; the Ahmed Seddiqi logo (ahmed-seddiqi.png) is already in the library if Will prefers it."
Serbia Anti-Corruption Agency,Serbia Anti-Corruption Agency,failed,,Serbian Agency for Prevention of Corruption,"Agency for Prevention of Corruption (Agencija za sprečavanje korupcije), Serbia",,,"No usable logo: acas.rs timed out and I found no Wikipedia or Commons logo; the agency has its own logo, so the coat of arms fallback does not apply."
Seychelles Civil Aviation Authority (SCAA),Seychelles Civil Aviation Authority (SCAA),failed,,Seychelles Civil Aviation Authority,"Seychelles Civil Aviation Authority (SCAA), Seychelles",,,No usable logo: the Wikipedia infobox logo field is empty and scaa.sc returns only a captcha page to automated requests.
Seychelles Tourism Board,Seychelles Tourism Board,done,seychelles-tourism-board.png,Seychelles Tourism Board,"Seychelles Tourism Board, Seychelles",official-site,https://seychelles.com/assets/images/footerlogoc.png,"This is the destination brand mark ('The Seychelles islands, Another world') that the Board uses on its official site."
Shams Power Company,Shams Power Company,failed,,Shams Power Company,"Shams Power Company (Shams 1 solar plant joint venture, Masdar), UAE",,,"No usable logo of its own: shamspower.ae could not be reached and Wikipedia has only a photo of the plant; if Will prefers the parent, masdar.png is already in the library."
Sharjah Capability Development (Tatweer),Sharjah Capability Development (Tatweer),done,sharjah-capability-development.png,Sharjah Capability Development,"Sharjah Capability Development (Tatweer), UAE",official-site,https://sharjahcd.ae/wp-content/uploads/sites/37/2025/05/SCD-Logo-Colored-1-02.png,Colour bilingual stacked logo.
Sharjah Investment and Development Authority (Shurooq),Sharjah Investment and Development Authority (Shurooq),failed,,Shurooq,"Sharjah Investment and Development Authority (Shurooq), UAE",,,"No usable logo: there is no logo on the Wikipedia page or on Commons, and shurooq.gov.ae shows only a captcha page, even to a browser user agent."
Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research,Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research,done,al-qasimi-foundation.png,Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research,"Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research, Ras Al Khaimah, UAE",official-site,https://www.alqasimifoundation.com/hubfs/logo-Small19420185210.svg,The logo SVG from the site header.
Sierra Leone National Revenue Authority,Sierra Leone National Revenue Authority,failed,,National Revenue Authority,"National Revenue Authority (NRA), Sierra Leone",,http://nra.gov.sl/images/logo.jpg,"No usable logo: the logo on the official site is only 228x80px, and there is no Wikipedia page or Commons file."
Skyway Aviation Handling Company,Skyway Aviation Handling Company,done,sahco.png,SAHCO,"Skyway Aviation Handling Company Plc (SAHCO), Nigeria",official-site,https://sahcoplc.com/wp-content/uploads/2019/06/sifax-sahco-logo-brand-2.png,The colour version of the header lockup (the header logo itself is white); it carries the SIFAX parent tag.
Slovenia Government,Slovenia Government,done,slovenia-government.png,Government of Slovenia,Government of the Republic of Slovenia (coat of arms of Slovenia),wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/8f/Coat_of_arms_of_Slovenia.svg,"Uses the national coat of arms, following the rule for government bodies."
Smartenergygb,Smartenergygb,done,smart-energy-gb.png,Smart Energy GB,"Smart Energy GB, United Kingdom",official-site,https://www.smartenergygb.org/media/ccehseip/logo.png,"The site header and og:image both show the current 'smart meters' mark, not a 'Smart Energy GB' wordmark."
Sohar Port and Freezone,Sohar Industrial Port Company; Sohar Port and Freezone,failed,,SOHAR Port and Freezone,"SOHAR Port and Freezone (Sohar Industrial Port Company), Oman",,https://soharportandfreezone.om/wp-content/uploads/2024/12/sohar-logo.png,"No usable logo: the header logo on the official site is only 147x27px, and the Wikipedia page and Commons have none."
Solidaridad,Solidaridad,failed,,Solidaridad,"Solidaridad Network, Netherlands",,https://www.solidaridadnetwork.org/wp-content/uploads/2020/11/white.png,"No usable logo: the site header logo is white-only and 320px wide, other logo files there are 141px, and Wikipedia and Commons have none."
Soros Foundation-Kazakhstan,Soros Foundation-Kazakhstan,failed,,Soros Foundation-Kazakhstan,"Soros Foundation-Kazakhstan (Open Society network), Kazakhstan",,,"Wikimedia Commons has no logo for it, and its official site soros.kz has an expired TLS certificate, so the logo could not be fetched safely."
National Treasury,South Africa PPP Unit/National Treasury,done,south-africa-national-treasury.png,National Treasury,"National Treasury, Republic of South Africa",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/RSA_treasury.svg/1280px-RSA_treasury.svg.png,"Wikimedia's 1280px PNG render of RSA_treasury.svg, used because the SVG original stayed rate-limited. It is the full departmental lockup with the coat of arms."
Specialist Prosecutor's Office,Specialist Prosecutor's Office,done,kosovo-specialist-chambers-spo.png,Kosovo Specialist Chambers and Specialist Prosecutor's Office,"Specialist Prosecutor's Office, part of the Kosovo Specialist Chambers and Specialist Prosecutor's Office, The Hague, Netherlands",wikimedia,https://upload.wikimedia.org/wikipedia/commons/3/3b/KSC_logo_1.png,"This is the shared institutional logo, which names both the Chambers and the SPO. The official site is blocked by Cloudflare. The raster is 740px wide."
Standard Media Group Kenya,Standard Media Group Kenya,done,standard-group-kenya.png,The Standard,"The Standard Group PLC (Standard Media Group), Kenya",official-site,https://www.standardmedia.co.ke/assets/images/logos/standard-logo.png,"This is The Standard masthead with the group crest, taken from the standardmedia.co.ke header. The separate corporate site standardgroup.co.ke is blocked by Cloudflare, and Commons has no group logo. The raster is only 404px wide, just above the minimum."
Standards Council of Canada (SCC),Standards Council of Canada (SCC),done,standards-council-of-canada.png,Standards Council of Canada,"Standards Council of Canada (SCC-CCN), Canada",official-site,https://scc-ccn.ca/themes/custom/scc/images/logo-en.svg,The bilingual scc/ccn header SVG. Commons was rate-limited throughout.
Stars of Science TV Show,Stars of Science TV Show,done,stars-of-science.png,Stars of Science,"Stars of Science (Nujoom Al Oloum), Qatar Foundation TV show, Qatar",official-site,https://www.starsofscience.com/themes/custom/wingsuit/dist/app-drupal/images/logo.svg,The site header logo is a co-branded lockup: Qatar Foundation plus the Arabic Stars of Science wordmark. It is used as it appears on the site.
State Trading Organisation,State Trading Organisation,done,state-trading-organization.png,STO,"State Trading Organization PLC, Maldives",official-site,https://www.sto.mv/sto-boat-logo.svg,"The Commons logo is only a JPG, and Commons was rate-limited, so the official SVG was used."
Sterling Bank,Sterling Bank,done,sterling-bank.png,Sterling Bank,"Sterling Bank PLC, Nigeria",official-site,https://sterling.ng/wp-content/uploads/2023/04/SterlingLogo-2048x631.png,"The source PNG has a very faint off-white background, which is not noticeable on the tile."
Stevanato Group,Stevanato Group,done,stevanato-group.png,Stevanato Group,"Stevanato Group S.p.A., Italy",official-site,https://d1io3yog0oux5.cloudfront.net/_11ef2b5b6cabbefc6482a3a91ffb3cd9/stevanatogroup/files/theme/images/header-logo.svg,The colour header logo from the company's investor-relations site. The main site header uses a white variant.
APM Terminals,Suez Canal Container Terminal,done,apm-terminals.png,APM Terminals,"APM Terminals (A.P. Moller-Maersk), parent of Suez Canal Container Terminal, Egypt",official-site,https://assets.apmterminals.com/ign/v1/apmt-ign.js,"The inline header SVG, extracted from the site's header script. It includes the 'Lifting Global Trade' tagline."
Business Sweden,Swedish Trade Council,done,business-sweden.png,Business Sweden,"Business Sweden (The Swedish Trade and Invest Council), successor to the Swedish Trade Council, Sweden",official-site,https://www.business-sweden.com/,The black inline SVG logo from the site's menu sidebar. The main header version is white only.
Swiss Embassy Uzbekistan,Swiss Embassy Uzbekistan,done,switzerland-coat-of-arms.png,Embassy of Switzerland in Uzbekistan,"Embassy of Switzerland in Tashkent, Uzbekistan (Swiss Confederation)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Coat_of_Arms_of_Switzerland_%28Pantone%29.svg/1280px-Coat_of_Arms_of_Switzerland_%28Pantone%29.svg.png,"Sending country's coat of arms, used as the rule for embassies requires. This is Wikimedia's PNG render, used because the SVG original was rate-limited."
TOLO News,TOLO News,done,tolonews.png,TOLOnews,"TOLOnews (Moby Group), Afghanistan",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/TOLOnews_Logo.svg/1280px-TOLOnews_Logo.svg.png,"The logo is the brand's red square with white Dari lettering, so the tile is a solid red block."
TOPdesk,TOPdesk,done,topdesk.png,TOPdesk,"TOPdesk, Netherlands (UK office client)",official-site,https://www.topdesk.com/en/wp-content/media/sites/30/TOPdesk_RGB_Logo.svg,The same file as TOPdesk RGB Logo.svg on Commons. Taken from the official site because Commons was rate-limited.
TTTech Auto Iberia,TTTech Auto Iberia,done,trustmotion.png,TrustMotion,"TrustMotion (formerly TTTech Auto AG, part of NXP), Vienna, Austria",official-site,https://www.trustmotion.com/themes/custom/tttech/logo.svg,"TTTech Auto rebranded as TrustMotion (press release of 30 Apr 2026), and tttech-auto.com now redirects to trustmotion.com, so the current mark is used. It is black only and includes the words 'part of NXP'."
Tahakom,Tahakom,done,tahakom.png,Tahakom,"Tahakom (Saudi Company for Technical and Security Comprehensive Control), Saudi Arabia",official-site,https://www.tahakom.com/assets/images/new-identity/tahakom-logo.svg,The bilingual stacked logo from the site's new identity.
Takaful Emarat,Takaful Emarat,failed,,Takaful Emarat,"Takaful Emarat Insurance PSC, UAE",,,"Commons has no logo, and the official site only offers a 180x73 header PNG and a cropped 512px icon that cuts off the wordmark."
Takamol Holding,Takamol Holding,failed,,Takamol Holding,"Takamol Holding, Saudi Arabia",,,"The official site only has a white-only logo SVG and no dark or colour variant was found, and Commons has no Takamol logo."
Takatuf Oman,Takatuf Oman,done,takatuf-oman.png,Takatuf,"Takatuf Oman (human capital development company), Oman",official-site,https://cdn.takatuf.om/wp-content/uploads/2024/05/takatuf-logo-horizontal@200x.png,"A colour bilingual lockup from the site's media library. It matches the white header logo, which is the only version shown in the header. The raster is 662px wide."
Tamkeen Abu Dhabi,Tamkeen Abu Dhabi,failed,,Tamkeen,,,,"Identity unclear. The candidates are Tamkeen, the Abu Dhabi government body that funds NYU Abu Dhabi research, and other Abu Dhabi programmes named Tamkeen (for example ones for people of determination), plus Bahrain's Tamkeen labour fund. The note itself says it is unclear which one this is."
Tamkeen Bahrain,Tamkeen Bahrain,done,tamkeen.png,Tamkeen,"Tamkeen (Labour Fund), Bahrain",official-site,https://www.tamkeen.bh/wp-content/uploads/2024/10/Tamkeen_dual_rgb-01.png,"Wikipedia article has no logo. Used the bilingual Arabic/English colour logo from the site's schema data, because the header logo is white."
Tanzania National Parks,Tanzania National Parks,done,tanzania-national-parks.png,Tanzania National Parks,"Tanzania National Parks Authority (TANAPA), Tanzania",official-site,https://www.tanzaniaparks.go.tz/_next/static/media/tanapa_logo1.a7e7e540.png,Wikipedia article has no logo. The site raster is only just above the 400px minimum after trimming (385x419).
Tanzania President's Office,Tanzania President's Office,done,tanzania-presidents-office.png,Tanzania President's Office,"President's Office, United Republic of Tanzania",,,"Government office with no mark of its own, so the rule gives the national coat of arms, which is already in the library. Its current caption there is 'Tanzania Ministry of Energy and Minerals'. I could not open the file to check it."
Tashkeel,Tashkeel,done,tashkeel.png,Tashkeel,"Tashkeel (art and design organisation), Dubai, UAE",official-site,https://tashkeel.org/volumes/default/_1200x630_crop_center-center_82_none/Tashkeel-Social.png?mtime=1725901668,Header logo is only 300px wide. The og:image is the same clean bilingual black logo on white and is large enough.
Tasnee,Tasnee,failed,,Tasnee,"National Industrialization Company (Tasnee), Saudi Arabia",,,"No English or Arabic Wikipedia article and no logo on Commons, and tasnee.com could not be reached from this environment."
Tatweer Education Holding Company,Tatweer Education Holding Company,failed,,Tatweer Education Holding,"Tatweer Education Holding Company, Saudi Arabia",,,"No logo on Wikimedia. The site's declared logo (tatweer.sa/logo.png) could not be reached. The only other file is a group graphic in white on a navy tab with subsidiary logos, which does not meet the spec."
Tawal,Tawal,failed,,Tawal,"Tawal (Telecommunication Towers Company), Saudi Arabia, a PIF company",,,"No Wikipedia article or Commons logo, and tawal.com.sa could not be reached from this environment."
Tawazun,Tawazun,failed,,Tawazun Council,"Tawazun Council, UAE",,,"No Wikipedia article or Commons logo. The official site offers only white versions (tc_logo2025.png and a small Logo-Tall.png), and I found no dark or colour variant."
Tawuniya,Tawuniya,failed,,Tawuniya,"The Company for Cooperative Insurance (Tawuniya), Saudi Arabia",,,"No Wikipedia or Commons logo was found, and tawuniya.com returns 403 to automated requests, including with a browser user agent."
Tema Oil Refinery (TOR),Tema Oil Refinery (TOR),failed,,Tema Oil Refinery,"Tema Oil Refinery (TOR) Limited, Ghana",,,"Wikipedia's Tema Oil Refinery page has no logo, and the official site (tor.com.gh) could not be reached because the network proxy refused the connection."
Texas A&M,Texas A&M University at Qatar,done,texas-a-and-m-university.png,Texas A and M University,"Texas A&M University, USA (client entity is Texas A&M University at Qatar)",official-site,https://aux.tamu.edu/logos/primaryTAM.svg,"The target is 'Texas A&M', so I used the university's primary logo. The Wikipedia wordmark could not be fetched because of the rate limit, so this is the official SVG from the tamu.edu header. The Qatar campus's own horizontal logo is only 473px."
The African Academy of Sciences,The African Academy of Sciences,done,african-academy-of-sciences.png,The African Academy of Sciences,"The African Academy of Sciences (AAS), Nairobi, Kenya",official-site,https://aasciences.africa/_next/static/media/blue.ba814f4c.png,Stacked blue logo from the official site.
The American International School of Muscat (TAISM),The American International School of Muscat (TAISM),done,taism.png,TAISM,"The American International School of Muscat, Oman",official-site,https://www.taism.com/uploaded/themes/default_19/images/logo.svg,Full-colour header logo in SVG. The stacked footer version exists only as a pale monochrome tint.
The Association of Business Executives,The Association of Business Executives,done,abe.png,ABE,"The Association of Business Executives (ABE), United Kingdom",official-site,https://www.abeuk.com/themes/custom/ndp/logo.svg,"No Wikipedia article. Official SVG logo, which includes the tagline 'a world of opportunity'."
The Bank of Sierra Leone,The Bank of Sierra Leone,failed,,Bank of Sierra Leone,"Bank of Sierra Leone (central bank), Sierra Leone",,,"The Wikipedia logo (BANK_OF_SIERRA_LEONE_LOGO.png) is only 316px. The official site's BSL_Logo.jpeg is 640px, but the seal's ring is cut off at the right and bottom edges."
The Benefit Company,The Benefit Company,failed,,Benefit,"The Benefit Company, Bahrain (payments network)",,,"The Wikipedia logo file is only 62x73px, and benefit.bh sits behind a Cloudflare challenge that blocks automated requests."
Tadweer,The Center of Waste Management,done,tadweer-group.png,Tadweer Group,"Tadweer Group (formerly Abu Dhabi Center of Waste Management, Tadweer), UAE",official-site,https://cdn.prod.website-files.com/68b30ddc1a0f0ede928f6aba/68b31ceabe7468ccf2599d44_Logo.svg,"The note names Tadweer. Tadweer has since rebranded as Tadweer Group, so I used the current dark header SVG from tadweer.ae. The bilingual and Arabic versions on the site are white only."
The Climate Group,The Climate Group,failed,,Climate Group,"Climate Group (formerly The Climate Group), United Kingdom",,,"Wikimedia has only the bare degree-C symbol, not the lockup. The site's lockup is a 254x38 white-on-black JPG, and its SVG has a white C. No usable full lockup was found."
The Duke of Edinburgh's International Award Foundation,The Duke of Edinburgh's International Award Foundation,failed,,The Duke of Edinburgh's International Award,"The Duke of Edinburgh's International Award Foundation, United Kingdom",,,"Wikipedia redirects to the UK DofE Award, a different organisation's logo. On the official site the current logo exists only in white or as a small grey #WorldReady campaign lockup, and the older colour CMYK PNG is cropped."
The Executive Office of HH Sheikh Mohammed (TEO),The Executive Office of HH Sheikh Mohammed (TEO),failed,,The Executive Office,"The Executive Office of HH Sheikh Mohammed bin Rashid Al Maktoum, Dubai, UAE",,,"No Wikipedia article or Commons logo was found, and theexecutiveoffice.gov.ae could not be reached from this environment. executiveoffice.ae is a parked domain."
The Fishmongers' Company,The Fishmongers' Company,failed,,The Fishmongers' Company,"The Worshipful Company of Fishmongers, City of London, United Kingdom",,,"Wikimedia has only the Company's heraldic arms, not its logo. The official logo (TFC_Logo.svg) has white lettering beside gold dolphins, and I found no dark variant on the site."
"The Galleria, Al Maryah Island","The Galleria, Al Maryah Island",done,the-galleria-al-maryah-island.png,The Galleria Al Maryah Island,"The Galleria, Al Maryah Island (Abu Dhabi shopping mall, UAE)",official-site,https://www.thegalleria.ae/sites/default/files/logo-b-en.svg,This is the site's black English header logo. The brand has no colour version.
The Netherlands Nutrition Centre,The Netherlands Nutrition Centre,done,voedingscentrum.png,Voedingscentrum,"Voedingscentrum (Netherlands Nutrition Centre), Netherlands",official-site,https://www.voedingscentrum.nl/content/shared/images/vc_logo.svg,The logo carries the Dutch strapline 'eerlijk over eten'. Wikimedia could not be checked properly because of rate limiting.
The University of the West Indies Trinidad and Tobago,The University of the West Indies Trinidad and Tobago,done,uwi-st-augustine.png,"The University of the West Indies, St. Augustine","The University of the West Indies, St. Augustine Campus, Trinidad and Tobago",official-site,https://sta.uwi.edu/wp-content/uploads/2024/08/logo-1.png,"This is the full crest-and-name lockup, but the source is only just over 400px wide, so the campus line is small. Wikipedia has only the bare coat of arms."
Tomra Systems ASA,Tomra Systems ASA,done,tomra.png,TOMRA,"Tomra Systems ASA, Norway",wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/c5/Tomra_Systems_newer_logo.svg,
Tote,Tote,done,tote.png,Tote,"Tote (UK Tote Group, pool betting operator), United Kingdom",wikimedia,https://upload.wikimedia.org/wikipedia/en/e/e5/The_Tote.png,"This is the white 'tote' wordmark on a solid red panel, about 400px. tote.co.uk blocked every request, so I could not get a red-on-white version. Worth replacing if a better file turns up."
Tourism Development & Investment company TDIC,Tourism Development & Investment company TDIC; TDIC,done,tdic.png,TDIC,"Tourism Development and Investment Company (TDIC), Abu Dhabi, UAE (now defunct, folded into Aldar and Miral)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/89/TDIC_logo.jpg,"This is TDIC's last logo, bilingual Arabic and 'TDIC'. The source JPG is a little soft but legible."
XM,Trading Point of Financial Instruments; XM,done,xm.png,XM,"XM (Trading Point of Financial Instruments Ltd), Cyprus",official-site,https://cloud.xm-cdn.com/static/xm/common/logos/revamp/xm-logo.svg,"xm.com blocked direct requests. I took the SVG from XM's own CDN, the colour version for light backgrounds."
Transport for the North,Transport for the North,done,transport-for-the-north.png,Transport for the North,"Transport for the North, United Kingdom",official-site,https://strapiprodcontainer.blob.core.windows.net/uploads/assets/logo_130730e8a7.svg,This is the header logo file linked from transportforthenorth.com.
Travelport,Travelport,done,travelport.png,Travelport,"Travelport (travel technology company, UK/US)",official-site,https://www.travelport.com/travelport-logo.svg,
Tristar Transport,Tristar Transport,done,tristar.png,Tristar,"Tristar Group (Tristar Transport LLC), UAE fuel logistics",official-site,https://tristar-group.co/public/assets/img/site-logo.png,"The raster source is about 580px wide, which is enough."
Trivago,Trivago,done,trivago.png,trivago,"trivago N.V., Germany",official-site,https://www.trivago.com/,I extracted the header logo from inline SVG on the homepage.
Tullow Oil,Tullow Ghana; Tullow Group Services,failed,,Tullow Oil,"Tullow Oil plc, United Kingdom (with Tullow Ghana)",,,"The official site only has a white logo (logo-white.svg), and I found no dark version on its media pages. Wikipedia only has the old stacked 'TULLOW Oil plc' mark, which is no longer used, so I built it and then deleted it."
Turkish Aerospace Industry (TAI),Turkish Aerospace Industry (TAI),done,turkish-aerospace.png,Turkish Aerospace,"Turkish Aerospace Industries (TUSAS), Turkey",official-site,"https://www.tusas.com/content/images/uploads/originals/tusas-logo-en,6257.svg","This is the English logo from tusas.com/en, not the Turkish one."
UAE Federal Authority for Nuclear Regulation (FANR),UAE Federal Authority for Nuclear Regulation (FANR),failed,,FANR,"Federal Authority for Nuclear Regulation (FANR), UAE",,,"The site header logo (FANR-logo.png) is only 340px wide, and there is no SVG or larger file. Wikipedia and Commons have no FANR logo."
UAE General Civil Aviation Authority (GCAA),UAE General Civil Aviation Authority (GCAA),done,uae-gcaa.png,UAE General Civil Aviation Authority,"General Civil Aviation Authority (GCAA), UAE",official-site,https://www.gcaa.gov.ae/_catalogs/masterpage/GCAA.Web.Master/resources/imgs/Logo.svg,This is the bilingual Arabic and English logo.
UAE Government Communications Office (GCO),UAE Government Communications Office (GCO),done,uae-government-communications-office.png,UAE Government Communications Office,"UAE Government Communications Office, Prime Minister's Office, UAE",,,UAE coat of arms (no mark of its own)
UAE Jiu Jitsu Federation,UAE Jiu Jitsu Federation,failed,,UAE Jiu-Jitsu Federation,"UAE Jiu-Jitsu Federation, UAE",,,"Wikipedia and Commons have no logo file, and uaejjf.org could not be reached from here."
UAE Ministry of Health and Prevention,UAE Ministry of Health and Prevention,done,uae-ministry-of-health-and-prevention.png,UAE Ministry of Health and Prevention,"Ministry of Health and Prevention (MOHAP), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/en/0/08/Ministry_of_Health_and_Prevention_%28United_Arab_Emirates%29_logo.jpg,"This is the English-only version with the UAE emblem, 637px wide. mohap.gov.ae could not be reached, so I could not check for a bilingual version."
UAE Public Diplomacy Office,UAE Public Diplomacy Office,done,uae-public-diplomacy-office.png,UAE Public Diplomacy Office,"UAE Public Diplomacy Office, UAE federal government",,,UAE coat of arms (no mark of its own)
UAE Regulation and Supervision Bureau,UAE Regulation and Supervision Bureau,failed,,Regulation and Supervision Bureau,"Regulation and Supervision Bureau (RSB), Abu Dhabi utilities regulator, UAE (since merged into the Abu Dhabi Department of Energy)",,,"Wikipedia and Commons have no logo for the Abu Dhabi RSB, and the proxy blocked rsb.gov.ae."
UAE Signals Intelligence Agency (SIA),UAE Signals Intelligence Agency (SIA),done,uae-signals-intelligence-agency.png,UAE Signals Intelligence Agency,"Signals Intelligence Agency (SIA), United Arab Emirates",wikimedia,https://upload.wikimedia.org/wikipedia/commons/e/eb/Emblem_of_the_United_Arab_Emirates.svg,UAE coat of arms (no mark of its own)
